# Collision classes of the loopy polynomial L_G.
# Read from 38 result file(s) in res10_1.  The L-, Lhat- and XB-classes coincide.
#
# Non-isomorphic connected simple graphs on n = 10 vertices with equal
# L_G.  In this range the classes of the refined loopy polynomial Lhat_G
# and of the Tutte symmetric function XB_G are identical.
#
# Format:  n  m  graph6 [graph6 ...]   (class size = number of graph6 fields)
#
# classes    : 1285
# by size    : 1281 of size 2, 4 of size 4
# graphs     : 2578
# pairs      : 1305
# edge range : 14..32
#
10 14 I?ABCp[k_ I?ABE`[J_
10 14 I?B@`YoJG I?`DD`ohG
10 14 I?`@EQa\G I?`@EQa\O
10 14 I?`DDPcSo I?`DDPc]?
10 14 I?bB@_wYO I?bB@_wk_
10 15 I?ABCe[so I?ABEE[do
10 15 I?B@`YYZ? I?`DF?yt?
10 15 I?B@dRgSo I?`@eFgLO
10 15 I?BD@jgl? I?`DBbohO
10 15 I?BDf@WQo I?`Df@W`W
10 15 I?`@EPsgw I?`@EQb\O
10 15 I?`@EPsko I?`@EQq\O
10 15 I?`DBO{d_ I?`DB_{s_
10 15 I?`DB_ubO I?`DE`qf?
10 15 I?`DDPwx? I?`DEHYIo
10 15 I?`DF?kSw I?`DF?kn?
10 15 I?`ETHcL_ I?`ETHcUO
10 15 I?`acYoY_ I?`aeGwk_
10 15 I?`afASEW I?`afASUG
10 15 I?bB@_wZO I?bB@_wl_
10 16 I?ABAu[}? I?ABAuwn?
10 16 I?ABcZ`pg I?AFE_mpo
10 16 I?AEDieQw I?AEFJQEw
10 16 I?B@`Yp^? I?`DBad}?
10 16 I?B@lPXl? I?BDIo{kO
10 16 I?`@EPskw I?`@EQq\W
10 16 I?`DAiqUo I?`DBaYTo
10 16 I?`DBawz? I?`DBbK}?
10 16 I?`DDPcsw I?`DDPc}G
10 16 I?`DEPqko I?`DE`ieo
10 16 I?`DEPstO I?`DE`suO
10 16 I?`DF@UmG I?`DFBSMg
10 16 I?`DV@sDo I?`Df@kEo
10 16 I?`Df@My? I?b@dbaPo
10 16 I?`acYom_ I?`aeGw{_
10 16 I?bB@_{dg I?bB@_{kg
10 16 ICOedO[[O ICOedO[]?
10 17 I?ABCzwV_ I?ABEo}v?
10 17 I?ABeUs}? I?ABeUwn?
10 17 I?ABfANpo I?AFE_npo
10 17 I?AEDhyqo I?AEDpubo
10 17 I?BDf?xRg I?BDf@YJW
10 17 I?`@dFD{W I?`@dFPtW
10 17 I?`@dVK}? I?`@dVWv?
10 17 I?`DAjpu_ I?`DB`Vu_
10 17 I?`DDRcsw I?`DDRc}G
10 17 I?`DDdqbW I?`DDfgDw
10 17 I?`DDdqqW I?`DDfgSw
10 17 I?`DDfIPw I?`DErapW
10 17 I?`DDpUQw I?`DDpUwW
10 17 I?`DDrarG I?`DErKhg
10 17 I?`DDrgfG I?`DErWjO
10 17 I?`DDroTo I?`DFbSMg
10 17 I?`DDroz? I?`DFbK}?
10 17 I?`DUHwjO I?`DV?{xO
10 17 I?`DaXpXg I?`Df?]io
10 17 I?`DbJg[o I?`DbJgko
10 17 I?`DeHpXg I?`Df@Yio
10 17 I?`ETHclg I?`ETHcuW
10 17 I?`ETHkLo I?`ETHkMo
10 17 I?`acgy|? I?bBD`Yf_
10 17 I?`ad_lNG I?b@bQXuG
10 17 I?`ad`[]_ I?`ada[m_
10 17 I?`ad`km_ I?`adak]_
10 17 I?`al`[ao I?`eLQwTO
10 17 I?`be_{YO I?`ebQ[sO
10 17 I?`cm_{u? I?bBDd[{?
10 17 I?b@bCyMo I?b@b_jMg
10 17 I?bBBJIMo I?bBBJIm_
10 17 ICOedPKLW ICOedPKLo
10 17 ICOedPKn? ICQ`e_kRo
10 17 ICOed`KJo ICOeeOsz?
10 17 ICQdapc\? ICQdapc{?
10 18 I?ABCvRNg I?ABEd]Jw
10 18 I?ABfP{y_ I?ABf`m^?
10 18 I?AEFDyfW I?AEFF[Mw
10 18 I?AFBq]po I?AFEo}po
10 18 I?AFCx]}? I?AFEr[N_
10 18 I?B@c\kfo I?B@dL[ro
10 18 I?B@tekz? I?B@tfcn?
10 18 I?BDdU[v? I?BDdVSn?
10 18 I?`@eRpYw I?`@f@ZyW
10 18 I?`@eZwj_ I?`@fQ]z?
10 18 I?`DDdurO I?`DDfkTo
10 18 I?`DDpUUw I?`DDpU{W
10 18 I?`DErEug I?`DErQtg
10 18 I?`DF@VmW I?`DFBTMw
10 18 I?`DUNosW I?`DfFWpW
10 18 I?`DU_zJo I?`Dbajbo
10 18 I?`DU_zYo I?`Dbajqo
10 18 I?`DbNK|? I?`DbNSv?
10 18 I?`ETJclg I?`ETJcuW
10 18 I?`EUNowg I?`FFFWpg
10 18 I?`EVG{x_ I?`FFO{x_
10 18 I?`ad`kmg I?`adak]g
10 18 I?`adikRg I?b@dVWxO
10 18 I?`alRou_ I?`alawz?
10 18 I?`bEhktG I?`ebR`sW
10 18 I?`bMbKdo ICOefAeYW
10 18 I?`bMbKso ICOedJaYW
10 18 I?`ciqwt_ I?`eIqwf_
10 18 I?`cmP[Fo I?bFBHieo
10 18 I?`cmP[Mo I?`eJQ[{O
10 18 I?`e`zoY_ I?q`qiw\?
10 18 I?`ebRPN_ I?`ebRPn?
10 18 I?aJEc{u_ I?bBEgy{_
10 18 I?aJFbIZG I?bBEXwJo
10 18 I?b@dVcN_ I?b@dekZ_
10 18 I?b@eVcig I?bBDdMig
10 18 I?bBDVI\O I?bBDqeRo
10 18 I?bBDc]VO I?bBF`[kg
10 18 I?bBDcmkg I?bBF`ktG
10 18 I?bBDd[Bw I?bBDd[wW
10 18 I?bBDqeV_ I?bBETsm_
10 18 I?otRa[[O I?qadhis_
10 18 I?qa`heeo I?qa`iUYo
10 18 I?qa`hidg I?qa`iYXg
10 18 I?qa`hif_ I?qa`iYZ_
10 18 I?qa`ngk_ I?qadhik_
10 18 I?qachq}? ICOedPkn?
10 18 I?qachw{_ ICOedO{z?
10 18 ICOedHiFW ICOedHiFo
10 18 ICOedO]z? ICOf@qsV_
10 18 ICOedOtRg ICOedOuRW
10 18 ICQRDPXyO ICQRDPwiW
10 18 ICQ`e`km_ ICQ`e`ku_
10 18 ICQdapc^? ICQdapc}?
10 18 ICQebO{y? ICQebO{{?
10 18 ICQf@pLb_ ICQf@pLi_
10 19 I?ABAu\}W I?ABAuxnW
10 19 I?AFEK}uW I?AFELxfg
10 19 I?B@c\mfo I?B@dL]ro
10 19 I?B@lP\tg I?BDIo}kw
10 19 I?B@tji|? I?B@vI{{_
10 19 I?BDfAxrg I?BDfBYjW
10 19 I?BcujoFg I?BedjWFg
10 19 I?Bcujobg I?`eeqs`w
10 19 I?`DBjYnO I?`DBquvO
10 19 I?`DDdurW I?`DDfkTw
10 19 I?`DDpZTw I?`DDrpTw
10 19 I?`DEel}O I?`DFa{sw
10 19 I?`DEfRlo I?`DFEudw
10 19 I?`DUJh^_ I?`DVBd^_
10 19 I?`DUJhsw I?`DVBdsw
10 19 I?`DUbF{o I?`DeJbuo
10 19 I?`DbO}v_ I?`DbRU^_
10 19 I?`DbjMio I?`DfH]io
10 19 I?`DeRpYw I?`Df@ZyW
10 19 I?`DeZsZ_ I?`DfH]z?
10 19 I?`FC\{y_ I?`FFE{Z_
10 19 I?`alRoVW I?`alawVW
10 19 I?`alRohw I?`alawhw
10 19 I?`alRo}_ I?`alaw~?
10 19 I?`alYw{_ I?`anIwm_
10 19 I?`aljIEw I?bBdVSeg
10 19 I?`amjaRW I?`ebVoWw
10 19 I?`bMbKto ICOedJaYw
10 19 I?`beik}? I?`berSn?
10 19 I?`c]atv? I?`eJ_^io
10 19 I?`cmP[No I?`eJQ[{W
10 19 I?`cmZQZ_ I?`cnJQuO
10 19 I?`cmpwl_ I?`eJqwf_
10 19 I?`cv@U]g I?`ebOuug
10 19 I?`cv`[`w I?`e`zW`w
10 19 I?`cv`[z? I?`e`zWz?
10 19 I?`eV`spo I?`ebjWpg
10 19 I?`eVawlG I?`eeqwlG
