# Collision classes of the loopy polynomial L_G.
# Read from 124 result file(s) in res11.  The L-, Lhat- and XB-classes coincide.
#
# Non-isomorphic connected simple graphs on n = 11 vertices with equal
# L_G.  In this range the classes of the refined loopy polynomial Lhat_G
# and of the Tutte symmetric function XB_G are identical.
#
# Format:  n  m  graph6 [graph6 ...]   (class size = number of graph6 fields)
#
# classes    : 22499
# by size    : 22491 of size 2, 4 of size 3, 4 of size 4
# graphs     : 45010
# pairs      : 22527
# edge range : 13..42
#
11 13 J??CB@PafG? J??CB@PiDK?
11 14 J??CBAQqRK? J??CBBOq`M?
11 14 J??E@aIp@E_ J??E@aaJ?R_
11 14 J?AAD@oH_y? J?AAD@oHaq?
11 15 J??CBBOWjw? J??CBBOWmw?
11 15 J??CF?Ype`? J??E@bGh`F?
11 15 J??E@_iFTS? J?AADB_LUS?
11 15 J??EDbGJC`_ J?AADb_FCD_
11 15 J??EDb_RAR? J?AADb_RCD_
11 15 J?AA@BC[dR? J?AA@BCkRT?
11 15 J?AA@BC[dq? J?AA@BCkRs?
11 15 J?AA@BCgRs_ J?AA@BCgRt?
11 15 J?AA@agTBs? J?AA@agTFS?
11 15 J?AAD@oH`y? J?AAD@oHbq?
11 15 J?AADAcWar? J?AADAcWbw?
11 15 J?ABAaIUB@_ J?`@CbOISH_
11 15 J?ABAaQFFO? J?AE@`HX?{?
11 15 J?ABAaQTFO? J?AE@`HX?]?
11 15 J?AEB?oLBX? J?AEB?oLDq?
11 15 J?AEB?oeO{? J?AEB?oePw?
11 15 J?`@?bGgbg_ J?`@?bGgbh?
11 15 J?`@CaWTBB? J?`@CaWTBo?
11 16 J??CB@Paui_ J??CB@PeSm_
11 16 J??CB@XdfW? J??CB@XlD[?
11 16 J??E@_ikH{? J?AAD@ogno?
11 16 J??E@_ikJ[? J?AAD@oglw?
11 16 J??E@_ikJw? J?AAD@ogjw?
11 16 J??E@eKYNA? J??EDC[Md`?
11 16 J??ED?qkeX? J??ED?qkfW?
11 16 J?AA@BC[dR_ J?AA@BCkRT_
11 16 J?AA@BC[dq_ J?AA@BCkRs_
11 16 J?AA@BC[dr? J?AA@BCkRt?
11 16 J?AA@BC[lq? J?AA@BC]db?
11 16 J?AA@BCgZs_ J?AA@BCgZt?
11 16 J?AA@BSiRT? J?AA@BSiRc_
11 16 J?AA@agLJs? J?AA@agLNS?
11 16 J?AADAcwar? J?AADAcwbw?
11 16 J?AADB_Har_ J?AADB_Hd{?
11 16 J?AADB_StW_ J?AADB_s`Y_
11 16 J?AADJOY_V? J?AADbGX_j?
11 16 J?AAD`KZ?N? J?AAF@SmCF?
11 16 J?AAEIaW`u? J?AAEIaWax?
11 16 J?AB?poeAx? J?AB?rOXAx?
11 16 J?AB?rAsEa_ J?ABAbAbCN?
11 16 J?ABA_YwC{? J?ABA_YwEw?
11 16 J?ABA_Y{As? J?ABAagyBH?
11 16 J?ABAaQF@]? J?AE@`HX?}?
11 16 J?ABAaQTDP_ J?ABAaQTFP?
11 16 J?ABAagNEQ? J?ABAaoNA[?
11 16 J?ABAagV@Y? J?ABAagVCs?
11 16 J?ABAb_e_x? J?ABAb_eaw?
11 16 J?ABBbOJ@R? J?`@EaoJCD_
11 16 J?ABCjG[AQ_ J?`@EaK[AD_
11 16 J?ABEagXE__ J?ABEag[BI?
11 16 J?AE@`HyE`? J?AEBAo]BH?
11 16 J?AEB?oLB\? J?AEB?oLDu?
11 16 J?AEB?oLcu? J?AEB?oLdq?
11 16 J?AEB?oNBL? J?AEB?oNDe?
11 16 J?AEB?oeO{_ J?AEB?oePw_
11 16 J?`@?bG\DD_ J?`@?bGgjh?
11 16 J?`@?bG\DF? J?`@?bGkbJ?
11 16 J?`@?bG\Dd? J?`@?bGkbh?
11 16 J?`@?bG\De? J?`@?bGkbi?
11 16 J?`@?bGgbi_ J?`@?bGgbj?
11 16 J?`@CaWTBF? J?`@CaWTBs?
11 16 J?`@CaW]Eg? J?`@Cb_ROr?
11 16 J?`@CbOFBB_ J?`@CbOFDw?
11 16 J?`@CbOMUK? J?`@CbOXSs?
11 16 J?`@CbOMVG? J?`@CbOXTo?
11 16 J?`@CrCW`w? J?`@CrC[@k?
11 16 J?`@E`gE`H_ J?`@E`gE`J?
11 16 J?`@EaKT@Y? J?`@EaKTB`?
11 16 J?`D@`oBQ[? J?`D@`oBeo?
11 17 J??CBAQqZL_ J??CBBOqhN_
11 17 J??CBAYtR[? J??CBBWt`]?
11 17 J??CBBPaui_ J??CBBPeSm_
11 17 J??CBbHhew? J??CBbHjC{?
11 17 J??CEAqZUR? J??CEAwXsf?
11 17 J??E@_ikJ{? J?AAD@ognw?
11 17 J??ED?]kfP? J??EDBWh`l?
11 17 J??ED?]kfW? J??EDBWh`{?
11 17 J??ED?ykfW? J??EDAqy@{?
11 17 J??EDb_MIM_ J??EDb_UPL_
11 17 J?AA@BC[dr_ J?AA@BCkRt_
11 17 J?AA@BC[lq_ J?AA@BC]db_
11 17 J?AA@BC[lr? J?AA@BCkZt?
11 17 J?AA@BC]dr? J?AA@BCmRt?
11 17 J?AA@BSiRT_ J?AA@BSiRd_
11 17 J?AA@BSiRs_ J?AA@BSiRt?
11 17 J?AA@BSkRs_ J?AA@BSkRt?
11 17 J?AA@ahqfo? J?AA@ahuEs?
11 17 J?AADAcWer_ J?AADAcWfw_
11 17 J?AADAsQqJ_ J?AADAsQv@_
11 17 J?AADAsQqy? J?AADAsQvo?
11 17 J?AADAsSqy? J?AADAsSvo?
11 17 J?AADAwxCk_ J?AADBSuDL?
11 17 J?AADB_Utw? J?AADB_u`y?
11 17 J?AADBoQtW_ J?AADBoq`Y_
11 17 J?AADJAUVH? J?AADbGQuX?
11 17 J?AAD`axAr? J?AAD`axCr?
11 17 J?AADakRbQ? J?AADbKY`Y?
11 17 J?AAEIaw`u? J?AAEIawax?
11 17 J?AB?pQsUb? J?AB?rOseb?
11 17 J?AB?pouAx? J?AB?rO\Ax?
11 17 J?AB?r_TMp? J?AB?r_UJg_
11 17 J?ABA_YUfH? J?ABA_YUfg?
11 17 J?ABAaITJs? J?ABAaITNS?
11 17 J?ABAaIUbh? J?ABAb_U_|?
11 17 J?ABAaIUfH? J?ABAb_Uc\?
11 17 J?ABAaIUf`? J?ABAb_Uct?
11 17 J?ABAaIUfg? J?ABAb_Uc{?
11 17 J?ABAaIfDT? J?ABAaafC\?
11 17 J?ABAaIrDT? J?ABAaarC\?
11 17 J?ABAagJQx? J?ABAageax?
11 17 J?ABAagV@J_ J?ABAagVCd_
11 17 J?ABAagVBY? J?ABAagVEs?
11 17 J?ABAagXQx? J?ABAagsax?
11 17 J?ABAagYVI? J?ABAagpVQ?
11 17 J?ABAaoRdY? J?ABAaobbY?
11 17 J?ABAbAUUe? J?AE@bAYfE?
11 17 J?ABAb_VBJ? J?ABAb_VEd?
11 17 J?ABAb_e_x_ J?ABAb_eaw_
11 17 J?ABAec{DQ? J?ABAeolCs?
11 17 J?ABApochY? J?ABAqW[HM?
11 17 J?ABApoclQ? J?ABAqW[LE?
11 17 J?ABCfGJaJ? J?AEBApTfO?
11 17 J?ABEag]BI? J?BDA_Y{ES?
11 17 J?AE@`HwIy? J?AE@`HwMw?
11 17 J?AE@`HwMY? J?AE@`HwMq?
11 17 J?AEB?oLcu_ J?AEB?oLdq_
11 17 J?AEB?oNBL_ J?AEB?oNDe_
11 17 J?AEB?oNB\? J?AEB?oNDu?
11 17 J?AEBAocp\? J?AEBAocp]?
11 17 J?AEL_k[AY? J?AEN@WL?y?
11 17 J?B@`YIwCS_ J?`DD`gBaE_
11 17 J?B@dHgUCd? J?B@dIWUBD?
11 17 J?BD?pW[dQ? J?BD?poqPs?
11 17 J?BDA_gJQk_ J?BE@_gbV__
11 17 J?`@?bG\DF_ J?`@?bGkbJ_
11 17 J?`@?bG\Dd_ J?`@?bGkbh_
11 17 J?`@?bG\De_ J?`@?bGkbi_
11 17 J?`@?bG\Df? J?`@?bGkbj?
11 17 J?`@?bG\Le? J?`@?bG\db?
11 17 J?`@?bGgji_ J?`@?bGgjj?
11 17 J?`@?bgdPl? J?`@?bgdRc_
11 17 J?`@C`ckRR? J?`@C`oqRF?
11 17 J?`@CaWTFB_ J?`@CaWTFo_
11 17 J?`@CbCEZU? J?`@CbCE^c?
11 17 J?`@CbOFBF_ J?`@CbOFD{?
11 17 J?`@CbOmAM_ J?`@CbOx?u_
11 17 J?`@CbOmBI_ J?`@CbOx@q_
11 17 J?`@EQa\?j? J?`@EaaZ?r?
11 17 J?`@EQcP`s_ J?`@EQcP`u?
11 17 J?`@EQc[_f? J?`@E`gh_j?
11 17 J?`@E_i{CJ? J?`@E`gkcJ?
11 17 J?`@E_k]DE? J?`@EaoNBE?
11 17 J?`@E`gE`h_ J?`@E`gE`j?
11 17 J?`@EaKT@]? J?`@EaKTBd?
11 17 J?`@EaKtB`? J?`@`b_Elo?
11 17 J?`@dCwqAL? J?`DE`cKeo?
